UniProtKB:P12270	TPR	Nucleoprotein TPR
UniProtKB:Q6P0Q8	MAST2	Microtubule-associated serine/threonine-protein kinase 2
UniProtKB:A0A0B4J2E2	CCL15-CCL14	C-C motif chemokine
UniProtKB:Q96N67	DOCK7	Dedicator of cytokinesis protein 7
UniProtKB:P30049	ATP5D	ATP synthase subunit delta, mitochondrial
UniProtKB:P30048	PRDX3	Thioredoxin-dependent peroxide reductase, mitochondrial
UniProtKB:P30046	DDT	D-dopachrome decarboxylase
UniProtKB:P30040	ERP29	Endoplasmic reticulum resident protein 29
UniProtKB:Q8IYT8	ULK2	Serine/threonine-protein kinase ULK2
UniProtKB:O94921	CDK14	Cyclin-dependent kinase 14
UniProtKB:O00418	EEF2K	Eukaryotic elongation factor 2 kinase
UniProtKB:Q6UWL6	KIRREL2	Kin of IRRE-like protein 2
UniProtKB:Q8TEW0	PARD3	Partitioning defective 3 homolog
UniProtKB:O94907	DKK1	Dickkopf-related protein 1
UniProtKB:O94905	ERLIN2	Erlin-2
UniProtKB:Q8TEV9	SMCR8	Guanine nucleotide exchange protein SMCR8
UniProtKB:A1E959	ODAM	Odontogenic ameloblast-associated protein
UniProtKB:Q5MAI5	CDKL4	Cyclin-dependent kinase-like 4
UniProtKB:Q30201	HFE	Hereditary hemochromatosis protein
UniProtKB:Q92854	SEMA4D	Semaphorin-4D
UniProtKB:Q8TF66	LRRC15	Leucine-rich repeat-containing protein 15
UniProtKB:Q99570	PIK3R4	Phosphoinositide 3-kinase regulatory subunit 4
UniProtKB:P63167	DYNLL1	Dynein light chain 1, cytoplasmic
UniProtKB:P53779	MAPK10	Mitogen-activated protein kinase 10
UniProtKB:Q99567	NUP88	Nuclear pore complex protein Nup88
UniProtKB:Q86YV5	PRAG1	Tyrosine-protein kinase PRAG1
UniProtKB:Q8TF42	UBASH3B	Ubiquitin-associated and SH3 domain-containing protein B
UniProtKB:Q8TF40	FNIP1	Folliculin-interacting protein 1
UniProtKB:P08100	RHO	Rhodopsin
UniProtKB:Q99558	MAP3K14	Mitogen-activated protein kinase kinase kinase 14
UniProtKB:P63146	UBE2B	Ubiquitin-conjugating enzyme E2 B
UniProtKB:Q6UWF3	SCIMP	SLP adapter and CSK-interacting membrane protein
UniProtKB:Q8TF05	PPP4R1	Serine/threonine-protein phosphatase 4 regulatory subunit 1
UniProtKB:Q86Z23	C1QL4	Complement C1q-like protein 4
UniProtKB:Q8TEM1	NUP210	Nuclear pore membrane glycoprotein 210
UniProtKB:Q86Z02	HIPK1	Homeodomain-interacting protein kinase 1
UniProtKB:Q86YN6	PPARGC1B	Peroxisome proliferator-activated receptor gamma coactivator 1-beta
UniProtKB:Q9UHJ6	SHPK	Sedoheptulokinase
UniProtKB:Q15283	RASA2	Ras GTPase-activating protein 2
UniProtKB:O96020	CCNE2	G1/S-specific cyclin-E2
UniProtKB:O96017	CHEK2	Serine/threonine-protein kinase Chk2
UniProtKB:O96013	PAK4	Serine/threonine-protein kinase PAK 4
UniProtKB:P61981	YWHAG	14-3-3 protein gamma
UniProtKB:Q15256	PTPRR	Receptor-type tyrosine-protein phosphatase R
UniProtKB:Q6UW88	EPGN	Epigen
UniProtKB:Q6UW78	UQCC3	Ubiquinol-cytochrome-c reductase complex assembly factor 3
UniProtKB:Q9UPY8	MAPRE3	Microtubule-associated protein RP/EB family member 3
UniProtKB:P61925	PKIA	cAMP-dependent protein kinase inhibitor alpha
UniProtKB:Q8TEA7	TBCK	TBC domain-containing protein kinase-like protein
UniProtKB:Q15208	STK38	Serine/threonine-protein kinase 38
UniProtKB:P16298	PPP3CB	Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform
UniProtKB:Q8IY84	NIM1K	Serine/threonine-protein kinase NIM1
UniProtKB:P04899	GNAI2	Guanine nucleotide-binding protein G(i) subunit alpha-2
UniProtKB:P0CI01	SPDYE6	Putative speedy protein E6
UniProtKB:Q92796	DLG3	Disks large homolog 3
UniProtKB:O00329	PIK3CD	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform
UniProtKB:Q8TDY2	RB1CC1	RB1-inducible coiled-coil protein 1
UniProtKB:Q8TDX7	NEK7	Serine/threonine-protein kinase Nek7
UniProtKB:Q8IY49	MMD2	Monocyte to macrophage differentiation factor 2
UniProtKB:O94813	SLIT2	Slit homolog 2 protein
UniProtKB:O94804	STK10	Serine/threonine-protein kinase 10
UniProtKB:Q6UVK1	CSPG4	Chondroitin sulfate proteoglycan 4
UniProtKB:P51692	STAT5B	Signal transducer and activator of transcription 5B
UniProtKB:Q92759	GTF2H4	General transcription factor IIH subunit 4
UniProtKB:P16234	PDGFRA	Platelet-derived growth factor receptor alpha
UniProtKB:P51681	CCR5	C-C chemokine receptor type 5
UniProtKB:Q86XW9	NME9	Thioredoxin domain-containing protein 6
UniProtKB:P16220	CREB1	Cyclic AMP-responsive element-binding protein 1
UniProtKB:P01185	AVP	Vasopressin-neurophysin 2-copeptin
UniProtKB:P51671	CCL11	Eotaxin
UniProtKB:Q99460	PSMD1	26S proteasome non-ATPase regulatory subunit 1
UniProtKB:P51665	PSMD7	26S proteasome non-ATPase regulatory subunit 7
UniProtKB:P21917	DRD4	D(4) dopamine receptor
UniProtKB:Q9Y4G8	RAPGEF2	Rap guanine nucleotide exchange factor 2
UniProtKB:Q8N2S1	LTBP4	Latent-transforming growth factor beta-binding protein 4
UniProtKB:Q8N335	GPD1L	Glycerol-3-phosphate dehydrogenase 1-like protein
UniProtKB:Q7Z2X4	PID1	PTB-containing, cubilin and LRP1-interacting protein
UniProtKB:Q9HBH9	MKNK2	MAP kinase-interacting serine/threonine-protein kinase 2
UniProtKB:Q8N307	MUC20	Mucin-20
UniProtKB:Q92529	SHC3	SHC-transforming protein 3
UniProtKB:P61968	LMO4	LIM domain transcription factor LMO4
UniProtKB:Q05923	DUSP2	Dual specificity protein phosphatase 2
UniProtKB:Q7L8L6	FASTKD5	FAST kinase domain-containing protein 5, mitochondrial
UniProtKB:Q7Z333	SETX	Probable helicase senataxin
UniProtKB:Q6VAB6	KSR2	Kinase suppressor of Ras 2
UniProtKB:Q8IW41	MAPKAPK5	MAP kinase-activated protein kinase 5
UniProtKB:Q8N2I9	STK40	Serine/threonine-protein kinase 40
UniProtKB:Q92574	TSC1	Hamartin
UniProtKB:Q7L8J4	SH3BP5L	SH3 domain-binding protein 5-like
UniProtKB:Q8N2H9	PELI3	E3 ubiquitin-protein ligase pellino homolog 3
UniProtKB:Q92583	CCL17	C-C motif chemokine 17
UniProtKB:A4D2B8	PMS2P1	Putative postmeiotic segregation increased 2-like protein 1
UniProtKB:Q9HC23	PROK2	Prokineticin-2
UniProtKB:Q8TF76	HASPIN	Serine/threonine-protein kinase haspin
UniProtKB:Q13905	RAPGEF1	Rap guanine nucleotide exchange factor 1
UniProtKB:Q9HBU6	ETNK1	Ethanolamine kinase 1
UniProtKB:Q5MJ70	SPDYA	Speedy protein A
UniProtKB:Q9HBW1	LRRC4	Leucine-rich repeat-containing protein 4
UniProtKB:P53778	MAPK12	Mitogen-activated protein kinase 12
UniProtKB:Q9HBY8	SGK2	Serine/threonine-protein kinase Sgk2
UniProtKB:P21860	ERBB3	Receptor tyrosine-protein kinase erbB-3
UniProtKB:Q07002	CDK18	Cyclin-dependent kinase 18
UniProtKB:Q8TCG2	PI4K2B	Phosphatidylinositol 4-kinase type 2-beta
UniProtKB:P80098	CCL7	C-C motif chemokine 7
UniProtKB:P36894	BMPR1A	Bone morphogenetic protein receptor type-1A
UniProtKB:P80075	CCL8	C-C motif chemokine 8
UniProtKB:Q10588	BST1	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2
UniProtKB:Q7L7X3	TAOK1	Serine/threonine-protein kinase TAO1
UniProtKB:P28562	DUSP1	Dual specificity protein phosphatase 1
UniProtKB:Q8N271	PROM2	Prominin-2
UniProtKB:A4D1P6	WDR91	WD repeat-containing protein 91
UniProtKB:P21810	BGN	Biglycan
UniProtKB:P01344	IGF2	Insulin-like growth factor II
UniProtKB:P21802	FGFR2	Fibroblast growth factor receptor 2
UniProtKB:P08069	IGF1R	Insulin-like growth factor 1 receptor
UniProtKB:Q15111	PLCL1	Inactive phospholipase C-like protein 1
UniProtKB:Q15131	CDK10	Cyclin-dependent kinase 10
UniProtKB:P01308	INS	Insulin
UniProtKB:Q92600	CNOT9	CCR4-NOT transcription complex subunit 9
UniProtKB:O00755	WNT7A	Protein Wnt-7a
UniProtKB:Q8N1N5	CRIPAK	Cysteine-rich PAK1 inhibitor
UniProtKB:Q8N1N2	DYNAP	Dynactin-associated protein
UniProtKB:Q92633	LPAR1	Lysophosphatidic acid receptor 1
UniProtKB:Q05823	RNASEL	2-5A-dependent ribonuclease
UniProtKB:Q9Y3I1	FBXO7	F-box only protein 7
UniProtKB:Q92673	SORL1	Sortilin-related receptor
UniProtKB:Q5S007	LRRK2	Leucine-rich repeat serine/threonine-protein kinase 2
UniProtKB:P43403	ZAP70	Tyrosine-protein kinase ZAP-70
UniProtKB:P51817	PRKX	cAMP-dependent protein kinase catalytic subunit PRKX
UniProtKB:Q8N1F7	NUP93	Nuclear pore complex protein Nup93
UniProtKB:P11532	DMD	Dystrophin
UniProtKB:P21108	PRPS1L1	Ribose-phosphate pyrophosphokinase 3
UniProtKB:P06850	CRH	Corticoliberin
UniProtKB:Q9Y210	TRPC6	Short transient receptor potential channel 6
UniProtKB:Q99828	CIB1	Calcium and integrin-binding protein 1
UniProtKB:P58753	TIRAP	Toll/interleukin-1 receptor domain-containing adapter protein
UniProtKB:Q99816	TSG101	Tumor susceptibility gene 101 protein
UniProtKB:Q8WVI7	PPP1R1C	Protein phosphatase 1 regulatory subunit 1C
UniProtKB:P11021	HSPA5	78 kDa glucose-regulated protein
UniProtKB:Q15569	TESK1	Dual specificity testis-specific protein kinase 1
UniProtKB:Q6TCH7	PAQR3	Progestin and adipoQ receptor family member 3
UniProtKB:Q15546	MMD	Monocyte to macrophage differentiation factor
UniProtKB:Q15545	TAF7	Transcription initiation factor TFIID subunit 7
UniProtKB:Q15526	SURF1	Surfeit locus protein 1
UniProtKB:Q5TA89	HES5	Transcription factor HES-5
UniProtKB:Q8WVC6	DCAKD	Dephospho-CoA kinase domain-containing protein
UniProtKB:P06307	CCK	Cholecystokinin
UniProtKB:P41743	PRKCI	Protein kinase C iota type
UniProtKB:P06756	ITGAV	Integrin alpha-V
UniProtKB:P16591	FER	Tyrosine-protein kinase Fer
UniProtKB:P48436	SOX9	Transcription factor SOX-9
UniProtKB:P48431	SOX2	Transcription factor SOX-2
UniProtKB:P48426	PIP4K2A	Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha
UniProtKB:O00626	CCL22	C-C motif chemokine 22
UniProtKB:O00622	CYR61	Protein CYR61
UniProtKB:Q8WV93	AFG1L	AFG1-like ATPase
UniProtKB:Q6YHK3	CD109	CD109 antigen
UniProtKB:P51970	NDUFA8	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8
UniProtKB:Q99755	PIP5K1A	Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha
UniProtKB:P51959	CCNG1	Cyclin-G1
UniProtKB:P51957	NEK4	Serine/threonine-protein kinase Nek4
UniProtKB:P51956	NEK3	Serine/threonine-protein kinase Nek3
UniProtKB:P51955	NEK2	Serine/threonine-protein kinase Nek2
UniProtKB:Q9Y6H3	ATP23	Mitochondrial inner membrane protease ATP23 homolog
UniProtKB:P51948	MNAT1	CDK-activating kinase assembly factor MAT1
UniProtKB:P51946	CCNH	Cyclin-H
UniProtKB:Q99731	CCL19	C-C motif chemokine 19
UniProtKB:Q8WUQ7	CACTIN	Cactin
UniProtKB:Q99717	SMAD5	Mothers against decapentaplegic homolog 5
UniProtKB:Q99988	GDF15	Growth/differentiation factor 15
UniProtKB:P31431	SDC4	Syndecan-4
UniProtKB:Q8WUM0	NUP133	Nuclear pore complex protein Nup133
UniProtKB:Q9Y6K8	AK5	Adenylate kinase isoenzyme 5
UniProtKB:Q9Y6K9	IKBKG	NF-kappa-B essential modulator
UniProtKB:Q15493	RGN	Regucalcin
UniProtKB:Q8WUJ3	CEMIP	Cell migration-inducing and hyaluronan-binding protein
UniProtKB:Q9Y6M4	CSNK1G3	Casein kinase I isoform gamma-3
UniProtKB:Q9Y6M9	NDUFB9	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9
UniProtKB:Q9Y6N1	COX11	Cytochrome c oxidase assembly protein COX11, mitochondrial
UniProtKB:P06241	FYN	Tyrosine-protein kinase Fyn
UniProtKB:P06239	LCK	Tyrosine-protein kinase Lck
UniProtKB:Q8WXC3	PYDC1	Pyrin domain-containing protein 1
UniProtKB:A0A1W2PPV4	A0A1W2PPV4	Uncharacterized protein
UniProtKB:Q15418	RPS6KA1	Ribosomal protein S6 kinase alpha-1
UniProtKB:P53041	PPP5C	Serine/threonine-protein phosphatase 5
UniProtKB:Q8WUA2	PPIL4	Peptidyl-prolyl cis-trans isomerase-like 4
UniProtKB:Q8IZY2	ABCA7	ATP-binding cassette sub-family A member 7
UniProtKB:O75747	PIK3C2G	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit gamma
UniProtKB:Q8TD08	MAPK15	Mitogen-activated protein kinase 15
UniProtKB:P31040	SDHA	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial
UniProtKB:Q86WN2	IFNE	Interferon epsilon
UniProtKB:P26367	PAX6	Paired box protein Pax-6
UniProtKB:Q9H0E2	TOLLIP	Toll-interacting protein
UniProtKB:Q9HCC9	ZFYVE28	Lateral signaling target protein 2 homolog
UniProtKB:Q8TCI5	PIFO	Protein pitchfork
UniProtKB:Q9UIK4	DAPK2	Death-associated protein kinase 2
UniProtKB:Q5NUL3	FFAR4	Free fatty acid receptor 4
UniProtKB:Q15078	CDK5R1	Cyclin-dependent kinase 5 activator 1
UniProtKB:Q8IWB6	TEX14	Inactive serine/threonine-protein kinase TEX14
UniProtKB:Q86WI3	NLRC5	Protein NLRC5
UniProtKB:P14927	UQCRB	Cytochrome b-c1 complex subunit 7
UniProtKB:Q15058	KIF14	Kinesin-like protein KIF14
UniProtKB:Q15052	ARHGEF6	Rho guanine nucleotide exchange factor 6
UniProtKB:Q15046	KARS	Lysine--tRNA ligase
UniProtKB:P41279	MAP3K8	Mitogen-activated protein kinase kinase kinase 8
UniProtKB:Q15025	TNIP1	TNFAIP3-interacting protein 1
UniProtKB:Q5H9B9	BMP2KL	Putative BMP-2-inducible kinase-like protein
UniProtKB:Q6Q0C0	TRAF7	E3 ubiquitin-protein ligase TRAF7
UniProtKB:Q15008	PSMD6	26S proteasome non-ATPase regulatory subunit 6
UniProtKB:O00182	LGALS9	Galectin-9
UniProtKB:P41240	CSK	Tyrosine-protein kinase CSK
UniProtKB:P0CG47	UBB	Polyubiquitin-B
UniProtKB:O00175	CCL24	C-C motif chemokine 24
UniProtKB:Q9H0K1	SIK2	Serine/threonine-protein kinase SIK2
UniProtKB:O00165	HAX1	HCLS1-associated protein X-1
UniProtKB:P41221	WNT5A	Protein Wnt-5a
UniProtKB:P41220	RGS2	Regulator of G-protein signaling 2
UniProtKB:Q9HC62	SENP2	Sentrin-specific protease 2
UniProtKB:Q8IVW4	CDKL3	Cyclin-dependent kinase-like 3
UniProtKB:P11908	PRPS2	Ribose-phosphate pyrophosphokinase 2
UniProtKB:P68400	CSNK2A1	Casein kinase II subunit alpha
UniProtKB:O00142	TK2	Thymidine kinase 2, mitochondrial
UniProtKB:O00141	SGK1	Serine/threonine-protein kinase Sgk1
UniProtKB:P36542	ATP5C1	ATP synthase subunit gamma, mitochondrial
UniProtKB:Q92598	HSPH1	Heat shock protein 105 kDa
UniProtKB:P16066	NPR1	Atrial natriuretic peptide receptor 1
UniProtKB:Q7RTN6	STRADA	STE20-related kinase adapter protein alpha
UniProtKB:Q8IVT5	KSR1	Kinase suppressor of Ras 1
UniProtKB:Q13888	GTF2H2	General transcription factor IIH subunit 2
UniProtKB:Q13882	PTK6	Protein-tyrosine kinase 6
UniProtKB:Q9HC29	NOD2	Nucleotide-binding oligomerization domain-containing protein 2
UniProtKB:Q8TBX8	PIP4K2C	Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma
UniProtKB:P18669	PGAM1	Phosphoglycerate mutase 1
UniProtKB:Q8IVS8	GLYCTK	Glycerate kinase
UniProtKB:P16050	ALOX15	Arachidonate 15-lipoxygenase
UniProtKB:Q86VZ5	SGMS1	Phosphatidylcholine:ceramide cholinephosphotransferase 1
UniProtKB:Q13873	BMPR2	Bone morphogenetic protein receptor type-2
UniProtKB:Q92569	PIK3R3	Phosphatidylinositol 3-kinase regulatory subunit gamma
UniProtKB:P36507	MAP2K2	Dual specificity mitogen-activated protein kinase kinase 2
UniProtKB:P16035	TIMP2	Metalloproteinase inhibitor 2
UniProtKB:Q92551	IP6K1	Inositol hexakisphosphate kinase 1
UniProtKB:P04637	TP53	Cellular tumor antigen p53
UniProtKB:P04629	NTRK1	High affinity nerve growth factor receptor
UniProtKB:P04628	WNT1	Proto-oncogene Wnt-1
UniProtKB:Q9HBL6	LRTM1	Leucine-rich repeat and transmembrane domain-containing protein 1
UniProtKB:Q13822	ENPP2	Ectonucleotide pyrophosphatase/phosphodiesterase family member 2
UniProtKB:P51452	DUSP3	Dual specificity protein phosphatase 3
UniProtKB:Q7Z6J4	FGD2	FYVE, RhoGEF and PH domain-containing protein 2
UniProtKB:Q7Z6J0	SH3RF1	E3 ubiquitin-protein ligase SH3RF1
UniProtKB:P78509	RELN	Reelin
UniProtKB:Q13535	ATR	Serine/threonine-protein kinase ATR
UniProtKB:Q7Z6G3	NECAB2	N-terminal EF-hand calcium-binding protein 2
UniProtKB:Q13554	CAMK2B	Calcium/calmodulin-dependent protein kinase type II subunit beta
UniProtKB:Q13555	CAMK2G	Calcium/calmodulin-dependent protein kinase type II subunit gamma
UniProtKB:P33681	CD80	T-lymphocyte activation antigen CD80
UniProtKB:Q9BXJ5	C1QTNF2	Complement C1q tumor necrosis factor-related protein 2
UniProtKB:P78563	ADARB1	Double-stranded RNA-specific editase 1
UniProtKB:Q9BXL7	CARD11	Caspase recruitment domain-containing protein 11
UniProtKB:Q8N5Y8	PARP16	Mono [ADP-ribose] polymerase PARP16
UniProtKB:O94768	STK17B	Serine/threonine-protein kinase 17B
UniProtKB:P08476	INHBA	Inhibin beta A chain
UniProtKB:Q8N5S9	CAMKK1	Calcium/calmodulin-dependent protein kinase kinase 1
UniProtKB:Q9BY44	EIF2A	Eukaryotic translation initiation factor 2A
UniProtKB:Q7Z5Y7	KCTD20	BTB/POZ domain-containing protein KCTD20
UniProtKB:Q7Z5Y6	BMP8A	Bone morphogenetic protein 8A
UniProtKB:Q7Z699	SPRED1	Sprouty-related, EVH1 domain-containing protein 1
UniProtKB:Q7Z698	SPRED2	Sprouty-related, EVH1 domain-containing protein 2
UniProtKB:Q7Z695	ADCK2	Uncharacterized aarF domain-containing protein kinase 2
UniProtKB:P55273	CDKN2D	Cyclin-dependent kinase 4 inhibitor D
UniProtKB:P55265	ADAR	Double-stranded RNA-specific adenosine deaminase
UniProtKB:Q9BY84	DUSP16	Dual specificity protein phosphatase 16
UniProtKB:P55263	ADK	Adenosine kinase
UniProtKB:Q7KZN9	COX15	Cytochrome c oxidase assembly protein COX15 homolog
UniProtKB:P23396	RPS3	40S ribosomal protein S3
UniProtKB:P23381	WARS	Tryptophan--tRNA ligase, cytoplasmic
UniProtKB:Q8N5H7	SH2D3C	SH2 domain-containing protein 3C
UniProtKB:Q7KZI7	MARK2	Serine/threonine-protein kinase MARK2
UniProtKB:Q9UBK2	PPARGC1A	Peroxisome proliferator-activated receptor gamma coactivator 1-alpha
UniProtKB:P23327	HRC	Sarcoplasmic reticulum histidine-rich calcium-binding protein
UniProtKB:Q7Z5L7	PODN	Podocan
UniProtKB:Q8N5C8	TAB3	TGF-beta-activated kinase 1 and MAP3K7-binding protein 3
UniProtKB:P51451	BLK	Tyrosine-protein kinase Blk
UniProtKB:Q8N5A5	ZGPAT	Zinc finger CCCH-type with G patch domain-containing protein
UniProtKB:P0CG48	UBC	Polyubiquitin-C
UniProtKB:P18615	NELFE	Negative elongation factor E
UniProtKB:Q07352	ZFP36L1	mRNA decay activator protein ZFP36L1
UniProtKB:Q86TG1	TMEM150A	Transmembrane protein 150A
UniProtKB:Q6L8Q7	PDE12	2',5'-phosphodiesterase 12
UniProtKB:P36544	CHRNA7	Neuronal acetylcholine receptor subunit alpha-7
UniProtKB:Q00613	HSF1	Heat shock factor protein 1
UniProtKB:O94806	PRKD3	Serine/threonine-protein kinase D3
UniProtKB:P36575	ARR3	Arrestin-C
UniProtKB:P33552	CKS2	Cyclin-dependent kinases regulatory subunit 2
UniProtKB:P13073	COX4I1	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial
UniProtKB:Q8N4X5	AFAP1L2	Actin filament-associated protein 1-like 2
UniProtKB:O94885	SASH1	SAM and SH3 domain-containing protein 1
UniProtKB:Q8N568	DCLK2	Serine/threonine-protein kinase DCLK2
UniProtKB:Q9BZ23	PANK2	Pantothenate kinase 2, mitochondrial
UniProtKB:O00410	IPO5	Importin-5
UniProtKB:P13010	XRCC5	X-ray repair cross-complementing protein 5
UniProtKB:P55160	NCKAP1L	Nck-associated protein 1-like
UniProtKB:Q7Z569	BRAP	BRCA1-associated protein
UniProtKB:P08311	CTSG	Cathepsin G
UniProtKB:O96014	WNT11	Protein Wnt-11
UniProtKB:Q3KP66	INAVA	Innate immunity activator protein
UniProtKB:P16118	PFKFB1	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1
UniProtKB:Q2TB90	HKDC1	Putative hexokinase HKDC1
UniProtKB:P62258	YWHAE	14-3-3 protein epsilon
UniProtKB:Q6P3R8	NEK5	Serine/threonine-protein kinase Nek5
UniProtKB:O95182	NDUFA7	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7
UniProtKB:O95178	NDUFB2	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial
UniProtKB:O95169	NDUFB8	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial
UniProtKB:O95168	NDUFB4	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4
UniProtKB:O95167	NDUFA3	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3
UniProtKB:O95163	ELP1	Elongator complex protein 1
UniProtKB:O60603	TLR2	Toll-like receptor 2
UniProtKB:O95150	TNFSF15	Tumor necrosis factor ligand superfamily member 15
UniProtKB:F5H5T6	F5H5T6	Uncharacterized protein
UniProtKB:P36871	PGM1	Phosphoglucomutase-1
UniProtKB:O00459	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta
UniProtKB:O00451	GFRA2	GDNF family receptor alpha-2
UniProtKB:O00444	PLK4	Serine/threonine-protein kinase PLK4
UniProtKB:O00443	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha
UniProtKB:P02511	CRYAB	Alpha-crystallin B chain
UniProtKB:Q6A1A2	PDPK2P	Putative 3-phosphoinositide-dependent protein kinase 2
UniProtKB:O60609	GFRA3	GDNF family receptor alpha-3
UniProtKB:Q96P31	FCRL3	Fc receptor-like protein 3
UniProtKB:Q9BRG2	SH2D3A	SH2 domain-containing protein 3A
UniProtKB:Q9BRG1	VPS25	Vacuolar protein-sorting-associated protein 25
UniProtKB:P09211	GSTP1	Glutathione S-transferase P
UniProtKB:Q13404	UBE2V1	Ubiquitin-conjugating enzyme E2 variant 1
UniProtKB:Q6IMN6	CAPRIN2	Caprin-2
UniProtKB:Q9NZJ5	EIF2AK3	Eukaryotic translation initiation factor 2-alpha kinase 3
UniProtKB:Q9BWT7	CARD10	Caspase recruitment domain-containing protein 10
UniProtKB:Q9UKX7	NUP50	Nuclear pore complex protein Nup50
UniProtKB:Q13889	GTF2H3	General transcription factor IIH subunit 3
UniProtKB:Q7Z3B4	NUP54	Nucleoporin p54
UniProtKB:Q96BW1	UPRT	Uracil phosphoribosyltransferase homolog
UniProtKB:P80192	MAP3K9	Mitogen-activated protein kinase kinase kinase 9
UniProtKB:O15239	NDUFA1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1
UniProtKB:P19784	CSNK2A2	Casein kinase II subunit alpha'
IntAct:EBI-764890	pfkm-pfkl3_human	6-phosphofructokinase, ML3 heterotetramer
IntAct:EBI-11580764	ccnl1-cdk11a_human-1	Cyclin L1-CDK11A(p58) complex
IntAct:EBI-764772	pfkl-pfkl_human	6-phosphofructokinase, L4 homotetramer
IntAct:EBI-709843	pfkfb1-pfkb1_human	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1 complex
IntAct:EBI-767678	cyclinb1_cdk1_human	Cyclin B1-CDK1 complex
IntAct:EBI-764545	pfkfb4-pfkb4_human	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4 complex
IntAct:EBI-764934	pfkm3-pfkl1_human	6-phosphofructokinase, M3L heterotetramer
IntAct:EBI-12523587	wich_human	WICH chromatin remodelling complex
IntAct:EBI-764901	pfkm2-pfkl2_human	6-phosphofructokinase, M2L2 heterotetramer
IntAct:EBI-13943368	abeta-42_human	Amyloid-beta protein 42 complex
IntAct:EBI-764595	pfkm-pfkm_human	6-phosphofructokinase, M4 homotetramer
IntAct:EBI-11579356	ccnl1-cdk11a_human	Cyclin L1-CDK11A(p110) complex
IntAct:EBI-11580402	ccnl2-cdk11a_human	Cyclin L2-CDK11A(p110) complex
IntAct:EBI-14348029	abeta-42-oligomer_human	Amyloid-beta protein 42 oligomeric complex
IntAct:EBI-1246076	cak_human	Cyclin-dependent protein kinase-activating kinase complex
IntAct:EBI-9009221	cdk5-p35_human	Cyclin-dependent protein kinase 5 holoenzyme complex, p35 variant
IntAct:EBI-764798	pfkp-pfkp_human	6-phosphofructokinase, P4 homotetramer
IntAct:EBI-764519	pfkfb3-pfkb3_human	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 complex
IntAct:EBI-11581119	ccnl2-cdk11a_human-1	Cyclin L2-CDK11A(p58) complex
IntAct:EBI-9685439	amy3-receptor_human	Amylin receptor 3 complex
UniProtKB:Q9BQI3	EIF2AK1	Eukaryotic translation initiation factor 2-alpha kinase 1
UniProtKB:Q9H477	RBKS	Ribokinase
UniProtKB:P0C7Q3	FAM58BP	Putative cyclin-related protein FAM58B
UniProtKB:Q9NYL2	MAP3K20	Mitogen-activated protein kinase kinase kinase 20
UniProtKB:P51570	GALK1	Galactokinase
UniProtKB:Q8IX03	WWC1	Protein KIBRA
UniProtKB:Q92630	DYRK2	Dual specificity tyrosine-phosphorylation-regulated kinase 2
UniProtKB:P58294	PROK1	Prokineticin-1
UniProtKB:Q92622	RUBCN	Run domain Beclin-1-interacting and cysteine-rich domain-containing protein
UniProtKB:Q92621	NUP205	Nuclear pore complex protein Nup205
UniProtKB:Q92616	GCN1	eIF-2-alpha kinase activator GCN1
UniProtKB:Q9HCJ2	LRRC4C	Leucine-rich repeat-containing protein 4C
UniProtKB:Q8TD23	ZNF675	Zinc finger protein 675
UniProtKB:P28331	NDUFS1	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial
UniProtKB:P01138	NGF	Beta-nerve growth factor
UniProtKB:P01137	TGFB1	Transforming growth factor beta-1
UniProtKB:P01135	TGFA	Protransforming growth factor alpha
UniProtKB:P01133	EGF	Pro-epidermal growth factor
UniProtKB:P26842	CD27	CD27 antigen
UniProtKB:Q96C90	PPP1R14B	Protein phosphatase 1 regulatory subunit 14B
UniProtKB:P01127	PDGFB	Platelet-derived growth factor subunit B
